"","ID","task","profile","Affiliation.of.the.terrorist","Legal.status.of.the.terrorist","Terrorist.tactic","Motivation.for.the.terrorist.attack","Number.of.deaths","Probability.of.the.attack","selected","progress","finished","durationinseconds"
"2843",285,1,2,"Lone actor - operating alone","Citizen","Non-suicidal bombing","Jihadism","100","1%",1,100,1,193
"2844",285,1,1,"Lone actor - operating alone","Immigrant","Suicidal bombing","Jihadism","100","10%",0,100,1,193
"2845",285,4,2,"Member of a terror cell - operating within an organized group","Citizen","Non-suicidal bombing","Right-wing extremism","100","1%",1,100,1,193
"2846",285,2,1,"Member of a terror cell - operating within an organized group","Citizen","Non-suicidal bombing","Jihadism","10","1%",0,100,1,193
"2847",285,5,1,"Lone actor - operating alone","Immigrant","Non-suicidal bombing","Right-wing extremism","1","0.1%",1,100,1,193
"2848",285,2,2,"Member of a terror cell - operating within an organized group","Immigrant","Non-suicidal bombing","Jihadism","100","10%",1,100,1,193
"2849",285,5,2,"Lone actor - operating alone","Citizen","Vehicle-ramming attack","Jihadism","1","0.1%",0,100,1,193
"2850",285,4,1,"Lone actor - operating alone","Immigrant","Shooting","Jihadism","1","0.1%",0,100,1,193
"2851",286,4,2,"Member of a terror cell - operating within an organized group","Immigrant","Non-suicidal bombing","Right-wing extremism","1","10%",0,100,1,97
"2852",286,3,1,"Lone actor - operating alone","Immigrant","Suicidal bombing","Right-wing extremism","100","0.1%",0,100,1,97
"2853",286,1,1,"Lone actor - operating alone","Immigrant","Non-suicidal bombing","Jihadism","10","10%",0,100,1,97
"2854",286,2,1,"Member of a terror cell - operating within an organized group","Immigrant","Suicidal bombing","Right-wing extremism","1","1%",1,100,1,97
"2855",286,2,2,"Lone actor - operating alone","Citizen","Shooting","Right-wing extremism","10","1%",0,100,1,97
"2856",286,1,2,"Lone actor - operating alone","Immigrant","Shooting","Right-wing extremism","1","0.1%",1,100,1,97
"2857",286,3,2,"Lone actor - operating alone","Immigrant","Stabbing","Jihadism","1","10%",1,100,1,97
"2858",286,5,2,"Member of a terror cell - operating within an organized group","Citizen","Suicidal bombing","Jihadism","1","0.1%",1,100,1,97
"2859",286,4,1,"Lone actor - operating alone","Citizen","Vehicle-ramming attack","Jihadism","10","1%",1,100,1,97
"2860",286,5,1,"Lone actor - operating alone","Immigrant","Non-suicidal bombing","Right-wing extremism","1","0.1%",0,100,1,97
"2861",287,2,1,"Lone actor - operating alone","Citizen","Suicidal bombing","Jihadism","1","10%",1,100,1,247
"2862",287,4,1,"Member of a terror cell - operating within an organized group","Immigrant","Suicidal bombing","Right-wing extremism","10","10%",1,100,1,247
"2863",287,3,2,"Lone actor - operating alone","Immigrant","Shooting","Right-wing extremism","100","10%",1,100,1,247
"2864",287,1,2,"Lone actor - operating alone","Immigrant","Shooting","Jihadism","100","10%",0,100,1,247
"2865",287,5,2,"Lone actor - operating alone","Immigrant","Suicidal bombing","Right-wing extremism","1","1%",1,100,1,247
"2866",287,5,1,"Lone actor - operating alone","Citizen","Non-suicidal bombing","Right-wing extremism","10","10%",0,100,1,247
"2867",287,4,2,"Lone actor - operating alone","Citizen","Shooting","Jihadism","100","0.1%",0,100,1,247
"2868",287,3,1,"Member of a terror cell - operating within an organized group","Citizen","Non-suicidal bombing","Right-wing extremism","1","1%",0,100,1,247
"2869",287,1,1,"Member of a terror cell - operating within an organized group","Citizen","Non-suicidal bombing","Right-wing extremism","1","10%",1,100,1,247
"2870",287,2,2,"Lone actor - operating alone","Citizen","Non-suicidal bombing","Jihadism","100","1%",0,100,1,247
"2871",288,1,1,"Lone actor - operating alone","Immigrant","Stabbing","Jihadism","10","1%",0,100,1,112
"2872",288,3,2,"Lone actor - operating alone","Immigrant","Non-suicidal bombing","Right-wing extremism","100","10%",0,100,1,112
"2873",288,3,1,"Lone actor - operating alone","Immigrant","Non-suicidal bombing","Jihadism","100","0.1%",1,100,1,112
"2874",288,2,2,"Member of a terror cell - operating within an organized group","Citizen","Stabbing","Jihadism","1","10%",1,100,1,112
"2875",288,5,1,"Lone actor - operating alone","Citizen","Vehicle-ramming attack","Right-wing extremism","100","1%",1,100,1,112
"2876",288,2,1,"Lone actor - operating alone","Citizen","Non-suicidal bombing","Right-wing extremism","10","0.1%",0,100,1,112
"2877",288,1,2,"Member of a terror cell - operating within an organized group","Citizen","Vehicle-ramming attack","Right-wing extremism","100","1%",1,100,1,112
"2878",288,5,2,"Lone actor - operating alone","Immigrant","Vehicle-ramming attack","Right-wing extremism","10","1%",0,100,1,112
"2879",288,4,2,"Lone actor - operating alone","Immigrant","Suicidal bombing","Jihadism","1","10%",1,100,1,112
"2880",288,4,1,"Lone actor - operating alone","Immigrant","Shooting","Jihadism","10","1%",0,100,1,112
"2881",289,4,1,"Member of a terror cell - operating within an organized group","Citizen","Vehicle-ramming attack","Jihadism","1","1%",1,100,1,443
"2882",289,1,1,"Member of a terror cell - operating within an organized group","Immigrant","Suicidal bombing","Jihadism","1","10%",0,100,1,443
"2883",289,1,2,"Member of a terror cell - operating within an organized group","Immigrant","Suicidal bombing","Jihadism","1","10%",1,100,1,443
"2884",289,3,2,"Member of a terror cell - operating within an organized group","Citizen","Suicidal bombing","Jihadism","1","10%",1,100,1,443
"2885",289,2,2,"Member of a terror cell - operating within an organized group","Citizen","Non-suicidal bombing","Right-wing extremism","1","0.1%",0,100,1,443
"2886",289,4,2,"Member of a terror cell - operating within an organized group","Immigrant","Stabbing","Jihadism","1","0.1%",0,100,1,443
"2887",289,5,2,"Member of a terror cell - operating within an organized group","Citizen","Shooting","Right-wing extremism","100","0.1%",0,100,1,443
"2888",289,3,1,"Member of a terror cell - operating within an organized group","Citizen","Vehicle-ramming attack","Jihadism","100","10%",0,100,1,443
"2889",289,2,1,"Lone actor - operating alone","Immigrant","Stabbing","Jihadism","1","10%",1,100,1,443
"2890",289,5,1,"Lone actor - operating alone","Immigrant","Non-suicidal bombing","Jihadism","10","0.1%",1,100,1,443
"2891",290,1,1,"Lone actor - operating alone","Immigrant","Vehicle-ramming attack","Right-wing extremism","1","1%",0,100,1,188
"2892",290,4,2,"Lone actor - operating alone","Immigrant","Non-suicidal bombing","Jihadism","100","10%",1,100,1,188
"2893",290,2,1,"Member of a terror cell - operating within an organized group","Immigrant","Suicidal bombing","Jihadism","10","0.1%",0,100,1,188
"2894",290,4,1,"Lone actor - operating alone","Immigrant","Stabbing","Right-wing extremism","10","1%",0,100,1,188
"2895",290,5,1,"Lone actor - operating alone","Citizen","Suicidal bombing","Right-wing extremism","100","1%",1,100,1,188
"2896",290,3,2,"Member of a terror cell - operating within an organized group","Immigrant","Vehicle-ramming attack","Right-wing extremism","10","1%",0,100,1,188
"2897",290,2,2,"Lone actor - operating alone","Citizen","Vehicle-ramming attack","Jihadism","100","1%",1,100,1,188
"2898",290,5,2,"Member of a terror cell - operating within an organized group","Immigrant","Non-suicidal bombing","Jihadism","10","1%",0,100,1,188
"2899",290,3,1,"Member of a terror cell - operating within an organized group","Citizen","Suicidal bombing","Jihadism","100","10%",1,100,1,188
"2900",290,1,2,"Lone actor - operating alone","Citizen","Non-suicidal bombing","Jihadism","1","0.1%",1,100,1,188
"2901",291,5,1,"Member of a terror cell - operating within an organized group","Immigrant","Stabbing","Jihadism","10","1%",0,100,1,210
"2902",291,3,2,"Lone actor - operating alone","Citizen","Stabbing","Right-wing extremism","1","1%",0,100,1,210
"2903",291,3,1,"Member of a terror cell - operating within an organized group","Immigrant","Non-suicidal bombing","Right-wing extremism","1","10%",1,100,1,210
"2904",291,5,2,"Member of a terror cell - operating within an organized group","Immigrant","Vehicle-ramming attack","Right-wing extremism","1","10%",1,100,1,210
"2905",291,2,2,"Lone actor - operating alone","Immigrant","Non-suicidal bombing","Right-wing extremism","1","0.1%",0,100,1,210
"2906",291,4,1,"Lone actor - operating alone","Immigrant","Shooting","Right-wing extremism","100","10%",1,100,1,210
"2907",291,1,2,"Lone actor - operating alone","Citizen","Stabbing","Jihadism","10","10%",1,100,1,210
"2908",291,2,1,"Member of a terror cell - operating within an organized group","Immigrant","Vehicle-ramming attack","Jihadism","1","10%",1,100,1,210
"2909",291,1,1,"Member of a terror cell - operating within an organized group","Immigrant","Suicidal bombing","Right-wing extremism","10","0.1%",0,100,1,210
"2910",291,4,2,"Lone actor - operating alone","Immigrant","Suicidal bombing","Right-wing extremism","10","0.1%",0,100,1,210
"2911",292,5,1,"Member of a terror cell - operating within an organized group","Immigrant","Stabbing","Jihadism","10","10%",1,100,1,241
"2912",292,1,2,"Member of a terror cell - operating within an organized group","Immigrant","Non-suicidal bombing","Right-wing extremism","1","1%",0,100,1,241
"2913",292,3,2,"Member of a terror cell - operating within an organized group","Citizen","Non-suicidal bombing","Jihadism","10","0.1%",1,100,1,241
"2914",292,1,1,"Member of a terror cell - operating within an organized group","Citizen","Non-suicidal bombing","Jihadism","100","1%",1,100,1,241
"2915",292,4,2,"Member of a terror cell - operating within an organized group","Immigrant","Vehicle-ramming attack","Right-wing extremism","10","1%",0,100,1,241
"2916",292,4,1,"Member of a terror cell - operating within an organized group","Immigrant","Shooting","Jihadism","100","1%",1,100,1,241
"2917",292,5,2,"Lone actor - operating alone","Immigrant","Vehicle-ramming attack","Jihadism","10","10%",0,100,1,241
"2918",292,2,2,"Member of a terror cell - operating within an organized group","Immigrant","Vehicle-ramming attack","Jihadism","10","0.1%",1,100,1,241
"2919",292,3,1,"Lone actor - operating alone","Citizen","Non-suicidal bombing","Jihadism","1","10%",0,100,1,241
"2920",292,2,1,"Member of a terror cell - operating within an organized group","Citizen","Non-suicidal bombing","Jihadism","10","1%",0,100,1,241
"2921",293,1,2,"Lone actor - operating alone","Citizen","Suicidal bombing","Right-wing extremism","1","0.1%",0,100,1,392
"2922",293,4,1,"Member of a terror cell - operating within an organized group","Immigrant","Shooting","Jihadism","10","10%",1,100,1,392
"2923",293,3,2,"Lone actor - operating alone","Immigrant","Shooting","Jihadism","1","1%",0,100,1,392
"2924",293,1,1,"Lone actor - operating alone","Citizen","Suicidal bombing","Right-wing extremism","100","1%",1,100,1,392
"2925",293,5,2,"Member of a terror cell - operating within an organized group","Immigrant","Shooting","Right-wing extremism","100","10%",0,100,1,392
"2926",293,2,1,"Lone actor - operating alone","Immigrant","Non-suicidal bombing","Jihadism","1","10%",1,100,1,392
"2927",293,2,2,"Lone actor - operating alone","Immigrant","Stabbing","Right-wing extremism","10","0.1%",0,100,1,392
"2928",293,5,1,"Member of a terror cell - operating within an organized group","Immigrant","Non-suicidal bombing","Right-wing extremism","100","10%",1,100,1,392
"2929",293,4,2,"Member of a terror cell - operating within an organized group","Citizen","Shooting","Right-wing extremism","10","0.1%",0,100,1,392
"2930",293,3,1,"Member of a terror cell - operating within an organized group","Immigrant","Vehicle-ramming attack","Jihadism","1","10%",1,100,1,392
"2931",294,2,2,"Lone actor - operating alone","Citizen","Shooting","Jihadism","100","0.1%",1,100,1,309
"2932",294,1,1,"Lone actor - operating alone","Citizen","Suicidal bombing","Jihadism","10","1%",1,100,1,309
"2933",294,5,2,"Member of a terror cell - operating within an organized group","Immigrant","Shooting","Right-wing extremism","10","0.1%",0,100,1,309
"2934",294,3,1,"Lone actor - operating alone","Immigrant","Suicidal bombing","Right-wing extremism","100","0.1%",0,100,1,309
"2935",294,3,2,"Member of a terror cell - operating within an organized group","Immigrant","Suicidal bombing","Jihadism","100","1%",1,100,1,309
"2936",294,1,2,"Lone actor - operating alone","Immigrant","Stabbing","Right-wing extremism","10","0.1%",0,100,1,309
"2937",294,5,1,"Lone actor - operating alone","Immigrant","Suicidal bombing","Right-wing extremism","10","0.1%",1,100,1,309
"2938",294,4,2,"Member of a terror cell - operating within an organized group","Citizen","Vehicle-ramming attack","Jihadism","10","0.1%",0,100,1,309
"2939",294,2,1,"Lone actor - operating alone","Immigrant","Shooting","Jihadism","10","10%",0,100,1,309
"2940",294,4,1,"Member of a terror cell - operating within an organized group","Immigrant","Shooting","Jihadism","1","10%",1,100,1,309
"2941",295,1,1,"Lone actor - operating alone","Citizen","Suicidal bombing","Right-wing extremism","1","0.1%",0,100,1,321
"2942",295,4,2,"Member of a terror cell - operating within an organized group","Citizen","Shooting","Jihadism","1","10%",0,100,1,321
"2943",295,2,2,"Member of a terror cell - operating within an organized group","Immigrant","Non-suicidal bombing","Jihadism","1","0.1%",0,100,1,321
"2944",295,2,1,"Lone actor - operating alone","Citizen","Non-suicidal bombing","Jihadism","100","10%",1,100,1,321
"2945",295,1,2,"Lone actor - operating alone","Citizen","Vehicle-ramming attack","Right-wing extremism","100","1%",1,100,1,321
"2946",295,5,1,"Member of a terror cell - operating within an organized group","Citizen","Non-suicidal bombing","Jihadism","100","10%",1,100,1,321
"2947",295,3,1,"Lone actor - operating alone","Citizen","Shooting","Right-wing extremism","100","10%",1,100,1,321
"2948",295,5,2,"Lone actor - operating alone","Citizen","Suicidal bombing","Jihadism","10","0.1%",0,100,1,321
"2949",295,3,2,"Member of a terror cell - operating within an organized group","Immigrant","Non-suicidal bombing","Right-wing extremism","1","10%",0,100,1,321
"2950",295,4,1,"Lone actor - operating alone","Immigrant","Stabbing","Jihadism","10","1%",1,100,1,321
"2951",296,3,2,"Lone actor - operating alone","Citizen","Vehicle-ramming attack","Jihadism","10","1%",0,100,1,236
"2952",296,1,2,"Lone actor - operating alone","Citizen","Suicidal bombing","Right-wing extremism","10","0.1%",1,100,1,236
"2953",296,2,2,"Lone actor - operating alone","Citizen","Shooting","Jihadism","1","1%",1,100,1,236
"2954",296,4,1,"Lone actor - operating alone","Citizen","Shooting","Jihadism","100","0.1%",0,100,1,236
"2955",296,2,1,"Lone actor - operating alone","Immigrant","Shooting","Right-wing extremism","1","1%",0,100,1,236
"2956",296,1,1,"Lone actor - operating alone","Citizen","Non-suicidal bombing","Right-wing extremism","1","1%",0,100,1,236
