treatment,treatment_binary,fire_judges,disobey_justice_2,overthrow_institutions,power_institutions,anti_democratic_index,strong_leader,check_corruption,angry,scared,optimistic,nervous,male,age,socioeconomic_level,political_interest,pres_approval,region,morena,nonpartisan,otherpartisan
Trash-talking,1,1,1,2,1,1.25,1,5,1,1,1,1,0,44,4,2,1,5,0,1,0
Control,0,3,4,3,4,3.5,3,8,1,1,2,3,1,53,3,3,4,3,1,0,0
Control,0,4,3,4,4,3.75,2,5,3,3,3,2,1,25,6,3,3,2,0,1,0
Control,0,1,2,1,1,1.25,2,8,1,1,2,1,1,71,2,4,1,4,0,0,1
Trash-talking,1,4,4,4,4,4,2,10,3,2,2,2,1,41,1,3,4,4,1,0,0
Trash-talking,1,4,4,5,4,4.25,5,10,4,2,3,3,1,48,2,4,5,6,1,0,0
Trash-talking,1,2,4,2,4,3,2,4,1,1,4,2,1,32,5,2,5,6,1,0,0
Control,0,3,2,3,3,2.75,3,5,2,3,3,3,1,30,6,1,3,3,1,0,0
Trash-talking,1,3,3,3,3,3,3,5,3,3,3,3,1,32,3,2,4,4,1,0,0
Control,0,2,4,2,5,3.25,4,8,1,1,4,1,0,25,7,2,4,1,1,0,0
Control,0,2,2,2,2,2,2,6,2,3,2,4,0,35,6,3,2,3,0,0,1
Trash-talking,1,1,1,4,1,1.75,5,10,5,1,4,1,0,49,6,2,3,5,0,0,1
Control,0,1,3,3,1,2,2,10,4,2,1,2,1,25,2,4,1,4,0,0,1
Trash-talking,1,2,3,3,3,2.75,3,9,4,2,1,3,0,23,3,3,4,2,1,0,0
Control,0,1,2,3,1,1.75,4,8,3,2,4,3,0,47,2,3,2,3,0,0,1
Control,0,2,5,2,4,3.25,2,3,4,3,4,1,1,64,3,2,2,3,0,0,1
Control,0,1,2,2,1,1.5,4,10,1,2,2,1,1,23,4,4,4,4,1,0,0
Control,0,4,4,4,4,4,3,5,1,2,3,1,0,18,2,3,4,2,1,0,0
Trash-talking,1,1,2,5,2,2.5,2,7,3,1,2,1,1,40,1,3,1,4,0,0,1
Control,0,4,1,4,5,3.5,5,8,3,3,3,3,0,32,4,1,5,1,1,0,0
Control,0,3,3,3,3,3,3,5,3,3,3,3,1,22,4,3,2,5,0,1,0
Control,0,1,2,3,1,1.75,1,2,5,3,2,3,1,52,1,2,1,3,0,0,0
Control,0,2,2,2,2,2,4,10,4,1,2,1,1,34,1,3,5,2,1,0,0
Control,0,3,2,3,4,3,5,10,4,4,3,2,0,42,6,2,5,2,1,0,0
Control,0,2,2,2,2,2,3,8,1,1,3,1,0,24,3,3,4,3,1,0,0
Control,0,3,1,5,4,3.25,2,9,4,4,1,4,0,26,4,4,3,1,0,1,0
Trash-talking,1,3,3,3,3,3,3,5,3,3,4,3,0,27,6,2,3,3,0,1,0
Trash-talking,1,3,3,3,3,3,2,7,2,2,3,2,0,32,5,3,3,5,1,0,0
Control,0,1,1,1,1,1,1,2,2,4,3,5,0,54,2,3,1,3,0,0,1
Trash-talking,1,2,1,3,1,1.75,2,10,4,4,1,2,0,62,3,3,2,3,1,0,0
Trash-talking,1,3,3,3,3,3,3,5,1,1,1,1,1,29,5,1,3,1,0,1,0
Control,0,1,2,3,1,1.75,2,6,3,1,4,1,1,21,5,2,4,4,1,0,0
Control,0,4,3,4,5,4,5,10,2,1,2,1,0,50,3,2,5,2,1,0,0
Control,0,3,2,4,2,2.75,4,9,3,1,3,1,1,67,4,4,5,6,1,0,0
Control,0,4,3,4,4,3.75,4,8,3,3,3,3,1,34,3,2,3,2,0,1,0
Trash-talking,1,2,2,2,2,2,2,5,4,3,2,2,0,49,4,3,1,2,0,1,0
Control,0,5,4,5,5,4.75,5,10,1,1,5,1,1,43,3,4,5,4,1,0,0
Control,0,3,2,3,4,3,4,8,2,1,4,1,1,40,1,3,4,4,1,0,0
Control,0,1,1,1,1,1,2,6,5,5,1,5,1,40,2,2,2,3,0,0,1
Trash-talking,1,1,1,2,5,2.25,4,10,3,3,3,1,1,35,2,4,1,4,0,0,1
Trash-talking,1,3,2,4,4,3.25,5,8,4,2,3,2,1,34,2,3,5,4,1,0,0
Control,0,3,3,3,3,3,4,5,1,1,2,1,0,24,3,4,3,2,1,0,0
Control,0,1,2,3,1,1.75,3,8,1,1,1,1,0,67,4,4,1,2,0,0,1
Control,0,3,3,3,3,3,3,9,4,3,3,3,0,34,6,1,3,3,0,1,0
Trash-talking,1,3,3,3,3,3,3,7,3,3,3,3,1,19,3,3,5,6,1,0,0
Trash-talking,1,2,4,5,4,3.75,5,10,4,5,1,5,0,22,2,4,4,2,0,0,1
Control,0,3,3,3,3,3,3,5,1,1,2,1,1,66,4,2,3,2,0,0,0
Control,0,1,5,1,2,2.25,1,8,1,1,2,1,0,20,6,2,2,2,1,0,0
Trash-talking,1,1,5,2,5,3.25,4,9,4,2,1,1,0,34,2,2,4,4,0,0,1
Control,0,2,2,3,2,2.25,5,9,1,1,4,1,1,30,3,3,4,4,1,0,0
Trash-talking,1,4,4,3,4,3.75,5,8,4,1,3,1,0,47,1,3,5,2,1,0,0
Control,0,1,1,4,1,1.75,1,1,1,1,3,1,1,37,3,2,1,5,0,0,1
Control,0,4,2,4,4,3.5,4,8,1,1,2,1,1,24,1,2,5,1,1,0,0
Trash-talking,1,1,5,5,2,3.25,5,10,2,1,5,1,0,24,2,3,2,3,0,1,0
Trash-talking,1,2,3,3,3,2.75,3,5,3,2,3,2,0,20,3,2,3,1,0,1,0
Control,0,5,5,3,5,4.5,5,10,3,3,3,4,1,30,1,4,3,2,0,0,0
Trash-talking,1,2,4,2,2,2.5,3,3,2,2,4,1,0,38,6,2,4,6,1,0,0
Trash-talking,1,1,1,2,2,1.5,4,9,1,2,3,4,1,64,3,4,1,6,0,0,1
Control,0,4,3,5,5,4.25,5,8,2,1,2,1,0,28,5,3,5,4,1,0,0
Control,0,3,2,3,4,3,3,3,2,2,3,4,0,20,3,3,4,2,1,0,0
Trash-talking,1,3,3,5,5,4,3,5,5,2,1,2,0,49,1,1,1,3,0,1,0
Control,0,1,1,3,1,1.5,2,4,5,3,1,4,1,46,5,2,1,5,0,0,1
Trash-talking,1,3,4,5,5,4.25,5,7,1,1,1,1,1,42,3,2,5,1,1,0,0
Control,0,4,3,3,4,3.5,1,4,2,1,4,2,1,48,3,4,5,6,1,0,0
Control,0,4,3,4,3,3.5,3,7,3,1,4,1,1,27,5,3,4,3,0,0,0
Control,0,2,2,5,3,3,3,10,5,1,2,1,0,57,3,3,2,6,0,0,1
Trash-talking,1,4,4,5,3,4,4,10,2,4,2,4,1,44,5,2,3,4,0,0,1
Trash-talking,1,2,2,3,4,2.75,4,10,4,1,2,2,1,40,3,1,2,4,0,1,0
Trash-talking,1,4,5,3,5,4.25,3,9,4,1,2,1,0,61,1,2,5,3,1,0,0
Control,0,1,1,3,1,1.5,1,10,5,2,1,3,0,47,2,4,1,6,0,0,1
Trash-talking,1,1,2,3,1,1.75,3,5,1,1,4,1,1,23,4,2,5,4,1,0,0
Trash-talking,1,2,4,3,5,3.5,4,8,4,1,3,2,1,18,1,2,4,3,0,0,0
Trash-talking,1,4,3,4,2,3.25,3,10,4,3,3,3,0,25,5,4,5,2,1,0,0
Control,0,3,3,3,3,3,3,5,3,3,3,3,0,19,5,1,4,6,0,1,0
Trash-talking,1,2,2,2,4,2.5,3,9,1,2,5,1,0,40,6,2,5,5,1,0,0
Trash-talking,1,3,3,4,3,3.25,3,8,2,1,2,2,0,18,5,2,5,5,1,0,0
Control,0,5,4,5,4,4.5,5,6,2,2,4,1,0,42,2,2,5,1,1,0,0
Trash-talking,1,2,3,4,4,3.25,2,8,4,3,2,3,0,62,4,3,4,3,1,0,0
Trash-talking,1,4,5,4,2,3.75,3,10,4,3,4,2,0,22,6,2,3,5,0,1,0
Trash-talking,1,4,2,4,3,3.25,3,7,3,2,2,2,1,28,2,3,4,6,0,1,0
Control,0,3,4,3,4,3.5,4,6,2,1,3,1,1,32,5,1,5,4,0,1,0
Trash-talking,1,4,3,3,4,3.5,3,10,3,4,2,4,1,34,4,3,4,4,1,0,0
Control,0,1,1,2,1,1.25,3,7,2,1,4,1,0,36,5,3,5,5,1,0,0
Control,0,1,1,3,1,1.5,3,5,1,1,2,1,0,50,4,1,1,2,0,0,1
Trash-talking,1,3,2,4,4,3.25,3,9,4,4,2,2,0,60,4,1,3,2,1,0,0
Trash-talking,1,4,4,4,4,4,4,7,1,2,3,1,1,40,5,2,4,4,1,0,0
Control,0,3,4,5,4,4,3,5,2,2,1,1,0,24,4,1,3,6,0,1,0
Trash-talking,1,3,3,3,3,3,2,5,3,2,3,3,1,38,6,2,4,4,0,0,1
Trash-talking,1,4,3,4,4,3.75,4,10,5,4,1,3,0,21,3,3,4,2,1,0,0
Control,0,3,2,3,2,2.5,3,10,5,3,5,4,0,45,6,1,1,4,0,1,0
Control,0,3,3,3,5,3.5,5,5,3,1,5,2,1,33,2,2,5,4,1,0,0
Trash-talking,1,2,4,2,2,2.5,3,8,4,1,1,4,0,23,3,2,4,5,1,0,0
Control,0,3,3,3,3,3,3,10,1,1,1,1,0,53,5,1,3,5,0,1,0
Control,0,3,4,4,4,3.75,5,10,5,4,2,4,0,48,6,4,4,6,0,0,1
Trash-talking,1,1,2,3,1,1.75,1,9,5,5,1,1,0,56,3,3,1,3,0,0,1
Trash-talking,1,1,5,3,1,2.5,5,10,5,5,5,3,1,38,6,4,5,6,1,0,0
Control,0,3,1,3,3,2.5,3,9,3,3,3,3,0,63,4,3,2,2,0,0,1
Trash-talking,1,1,1,1,1,1,4,4,1,1,3,1,1,49,4,2,4,6,0,0,0
Control,0,2,2,2,1,1.75,2,5,4,2,1,3,0,37,6,3,2,3,0,0,1
Trash-talking,1,4,4,3,2,3.25,3,5,3,2,2,4,1,29,5,3,5,4,1,0,0
Trash-talking,1,2,4,3,4,3.25,2,8,5,4,1,2,0,23,3,1,5,4,1,0,0
Control,0,1,3,1,1,1.5,4,6,1,1,1,1,0,23,2,2,4,1,1,0,0
Control,0,2,4,2,2,2.5,2,10,3,1,3,1,1,43,1,2,4,4,1,0,0
Control,0,3,2,4,5,3.5,3,8,2,2,2,1,1,20,6,3,3,2,0,0,0
Control,0,1,4,4,4,3.25,4,9,2,3,1,2,0,51,3,3,4,1,1,0,0
Trash-talking,1,3,4,4,4,3.75,3,7,1,1,2,1,0,20,6,3,4,6,1,0,0
Trash-talking,1,2,4,3,2,2.75,3,10,2,1,2,1,1,36,2,2,3,4,1,0,0
Control,0,1,3,5,5,3.5,3,10,3,3,4,3,0,55,6,1,3,2,1,0,0
Trash-talking,1,2,2,3,1,2,3,9,4,3,1,3,0,39,3,2,1,6,0,1,0
Control,0,2,4,2,3,2.75,3,10,1,2,2,1,0,20,3,1,4,6,1,0,0
Trash-talking,1,3,3,5,3,3.5,5,10,5,5,5,5,1,39,5,1,5,1,1,0,0
Trash-talking,1,1,2,3,2,2,2,8,4,4,1,4,1,34,1,2,2,2,0,1,0
Control,0,2,2,3,2,2.25,4,6,2,1,1,1,0,21,5,3,3,5,0,0,0
Control,0,5,5,5,5,5,4,10,4,2,3,3,0,43,5,2,5,6,0,1,0
Control,0,2,2,2,2,2,2,5,3,4,2,4,0,68,5,1,1,3,0,0,1
Trash-talking,1,2,3,4,2,2.75,3,8,3,3,3,3,0,31,1,3,1,6,0,1,0
Trash-talking,1,5,4,5,4,4.5,4,5,4,4,1,3,0,46,4,3,4,6,0,1,0
Trash-talking,1,2,5,4,3,3.5,4,10,3,4,2,3,0,20,2,3,3,2,0,0,0
Control,0,2,2,4,2,2.5,5,10,1,1,4,1,1,69,3,3,5,2,0,1,0
Control,0,4,5,5,4,4.5,5,10,3,1,3,1,1,32,1,3,5,6,1,0,0
Trash-talking,1,3,4,5,4,4,5,7,3,2,1,2,0,28,6,3,4,3,1,0,0
Control,0,5,4,3,5,4.25,2,10,1,1,4,1,0,28,6,3,5,1,0,1,0
Control,0,5,1,5,5,4,4,10,4,4,5,5,1,30,6,4,5,3,1,0,0
Trash-talking,1,2,4,2,2,2.5,3,5,2,2,1,3,0,24,3,3,4,6,0,1,0
Control,0,1,5,4,1,2.75,3,10,1,1,3,1,1,21,6,3,5,5,1,0,0
Control,0,5,1,5,5,4,5,10,5,5,5,5,1,23,3,4,5,3,1,0,0
Trash-talking,1,2,4,5,1,3,4,7,2,1,3,1,0,23,2,4,2,2,0,0,0
Control,0,3,3,3,3,3,2,6,1,1,2,1,0,20,6,1,4,5,1,0,0
Control,0,2,4,5,4,3.75,2,10,3,4,2,3,1,25,5,3,3,2,0,0,0
Trash-talking,1,3,4,3,5,3.75,5,4,1,1,4,1,0,42,6,1,4,4,1,0,0
Trash-talking,1,4,2,4,4,3.5,4,9,2,2,1,2,0,23,4,2,4,2,0,1,0
Control,0,5,5,3,5,4.5,5,10,4,2,1,2,1,59,2,4,5,2,1,0,0
Control,0,1,2,1,1,1.25,3,10,5,4,2,3,0,29,1,1,1,1,0,1,0
Control,0,1,1,2,1,1.25,2,9,2,1,1,1,0,29,3,3,1,6,0,1,0
Control,0,3,2,2,5,3,3,9,1,1,4,3,1,21,2,3,4,4,1,0,0
Trash-talking,1,1,4,2,1,2,4,7,2,2,2,2,1,19,3,3,2,4,1,0,0
Trash-talking,1,4,2,4,4,3.5,5,6,3,2,1,2,1,21,3,1,1,4,1,0,0
Trash-talking,1,5,1,5,5,4,3,1,1,1,2,1,1,38,7,1,5,2,0,1,0
Trash-talking,1,4,5,3,5,4.25,5,9,2,2,4,1,0,21,5,3,5,2,1,0,0
Trash-talking,1,3,3,3,2,2.75,2,6,3,3,4,3,0,52,5,1,3,5,1,0,0
Trash-talking,1,1,2,3,1,1.75,3,9,4,3,2,4,0,22,2,3,2,1,0,1,0
Control,0,3,3,4,3,3.25,4,8,2,3,1,3,1,35,2,3,3,3,1,0,0
Control,0,2,2,4,3,2.75,3,7,1,1,2,2,0,24,5,2,4,4,1,0,0
Trash-talking,1,3,3,4,4,3.5,3,8,3,2,3,3,1,40,5,1,5,6,1,0,0
Trash-talking,1,1,1,2,2,1.5,4,5,2,1,2,1,1,56,5,2,2,5,0,1,0
Trash-talking,1,5,1,5,5,4,2,10,5,3,4,3,1,35,6,2,3,5,1,0,0
Trash-talking,1,5,2,5,5,4.25,2,2,2,1,2,1,1,49,5,3,4,5,1,0,0
Control,0,1,1,1,1,1,2,5,5,5,5,5,1,63,3,4,1,6,0,0,1
Trash-talking,1,1,5,1,1,2,1,3,1,1,1,1,1,33,3,3,2,2,0,1,0
Trash-talking,1,2,4,5,5,4,5,9,4,1,2,1,1,27,4,4,5,2,1,0,0
Control,0,4,3,3,2,3,4,5,3,4,4,3,0,24,3,1,2,5,0,1,0
Trash-talking,1,1,1,1,1,1,2,8,2,1,3,2,0,36,1,3,1,5,0,1,0
Control,0,4,3,4,5,4,3,5,3,1,3,1,0,32,3,3,4,4,0,0,0
Trash-talking,1,3,4,4,3,3.5,5,10,1,1,2,1,0,46,6,1,5,6,1,0,0
Trash-talking,1,3,1,4,3,2.75,4,7,2,4,2,3,0,26,6,3,4,4,0,0,0
Trash-talking,1,4,3,4,4,3.75,3,9,3,2,3,3,1,76,2,3,5,3,1,0,0
Trash-talking,1,3,4,4,2,3.25,3,8,4,4,4,3,0,37,4,1,2,1,0,1,0
Trash-talking,1,5,5,5,5,5,5,10,4,3,4,1,1,33,5,2,5,2,1,0,0
Trash-talking,1,2,3,2,4,2.75,2,6,2,3,4,1,0,18,6,3,3,5,1,0,0
Trash-talking,1,2,4,2,3,2.75,3,10,2,2,1,3,0,24,5,1,5,2,0,0,0
Control,0,4,2,5,5,4,4,10,2,1,4,1,0,54,2,4,5,2,1,0,0
Trash-talking,1,4,5,5,5,4.75,3,10,4,1,2,1,1,31,2,3,4,1,1,0,0
Control,0,3,3,3,3,3,4,5,3,1,1,1,1,51,4,1,5,1,0,1,0
Control,0,1,1,1,1,1,3,3,5,5,3,5,1,79,4,4,1,4,0,0,1
Control,0,2,3,4,2,2.75,2,9,1,1,4,1,0,24,3,4,5,5,1,0,0
Trash-talking,1,3,2,4,4,3.25,4,4,4,4,2,2,0,43,5,2,4,2,0,0,1
Trash-talking,1,3,3,4,4,3.5,4,5,2,1,2,3,1,28,5,3,4,3,1,0,0
Trash-talking,1,5,2,4,3,3.5,1,10,4,5,3,5,0,37,6,2,4,5,0,0,0
Control,0,3,2,3,3,2.75,4,8,3,4,3,4,0,24,2,4,3,5,0,0,1
Trash-talking,1,1,2,5,1,2.25,1,10,4,1,1,1,0,24,3,2,5,2,0,1,0
Trash-talking,1,3,4,3,4,3.5,4,8,4,2,4,2,0,22,3,3,5,5,1,0,0
Trash-talking,1,5,4,5,4,4.5,3,10,4,2,4,1,0,60,5,2,4,2,1,0,0
Control,0,4,4,4,3,3.75,2,10,1,1,3,1,0,23,4,2,4,3,0,0,1
Trash-talking,1,5,4,4,5,4.5,5,6,2,1,2,1,0,47,3,3,5,2,1,0,0
Control,0,2,2,3,1,2,2,10,3,1,2,1,1,52,4,3,2,3,0,0,1
Trash-talking,1,3,3,2,2,2.5,4,6,3,1,4,1,1,21,6,3,4,5,0,1,0
Trash-talking,1,5,5,5,5,5,4,6,2,1,4,1,1,35,3,3,4,1,1,0,0
Control,0,4,4,5,4,4.25,5,10,3,1,4,1,0,19,2,4,3,4,1,0,0
Control,0,1,2,2,2,1.75,4,8,3,2,4,2,1,39,2,4,2,3,0,0,1
Control,0,4,4,4,4,4,5,10,4,1,2,1,0,29,6,2,3,5,0,1,0
Trash-talking,1,1,1,1,1,1,1,2,5,5,1,4,0,56,1,2,1,3,0,0,0
Control,0,3,3,3,3,3,3,7,2,2,3,2,0,56,6,1,5,5,0,1,0
Control,0,3,3,1,2,2.25,1,8,2,1,4,1,0,49,5,3,4,3,1,0,0
Trash-talking,1,5,4,4,5,4.5,3,10,5,5,1,4,0,33,2,2,3,2,1,0,0
Trash-talking,1,4,4,5,4,4.25,5,8,3,2,1,2,0,37,3,2,4,1,1,0,0
Trash-talking,1,2,5,2,3,3,4,7,3,1,4,1,1,19,5,4,5,5,1,0,0
Trash-talking,1,1,1,5,1,2,1,7,5,4,1,4,1,71,3,4,1,2,0,1,0
Control,0,3,4,1,4,3,3,7,4,3,2,1,1,35,5,2,5,1,1,0,0
Trash-talking,1,1,3,1,1,1.5,1,10,1,1,1,5,0,34,5,3,1,5,0,0,1
Trash-talking,1,3,4,3,4,3.5,4,10,4,1,2,1,0,23,1,3,1,3,0,0,0
Control,0,3,3,4,3,3.25,3,9,2,3,2,2,0,48,3,3,4,3,0,0,1
Control,0,4,4,3,5,4,4,10,1,1,4,1,1,65,4,3,5,6,1,0,0
Control,0,3,3,4,3,3.25,4,9,4,4,2,4,0,39,6,2,2,5,0,1,0
Control,0,2,4,4,2,3,2,10,2,1,1,1,1,46,5,2,2,6,0,0,0
Control,0,5,4,3,5,4.25,3,10,2,2,3,2,1,35,5,3,5,6,0,1,0
Control,0,2,4,5,4,3.75,4,5,2,2,1,1,0,56,5,3,3,2,0,0,1
Control,0,3,3,5,3,3.5,3,10,1,1,1,1,1,52,2,2,3,6,0,0,0
Trash-talking,1,3,3,3,4,3.25,3,7,3,2,1,2,0,23,6,3,4,3,0,1,0
Trash-talking,1,1,1,1,1,1,1,1,1,1,1,1,0,67,3,1,1,3,0,0,1
Control,0,3,3,3,3,3,3,4,1,1,1,1,1,23,2,2,4,2,0,0,1
Trash-talking,1,5,2,5,5,4.25,2,10,3,4,2,5,1,49,6,2,2,3,0,1,0
Trash-talking,1,3,3,2,3,2.75,3,5,3,3,3,3,0,28,5,1,3,2,0,1,0
Control,0,4,2,4,4,3.5,3,8,4,3,2,1,1,34,1,3,2,4,0,0,0
Trash-talking,1,1,3,4,1,2.25,3,5,2,1,1,2,1,20,3,3,4,3,1,0,0
Control,0,2,1,3,2,2,3,6,3,3,2,4,0,20,5,2,2,4,0,0,0
Trash-talking,1,4,5,4,4,4.25,1,10,4,4,2,3,0,55,1,1,4,1,0,0,1
Trash-talking,1,5,1,3,5,3.5,2,8,5,3,3,4,0,46,5,1,4,4,1,0,0
Control,0,2,4,2,2,2.5,3,9,4,1,3,3,0,64,6,2,4,4,0,0,0
Control,0,1,1,3,1,1.5,1,10,1,1,1,1,0,66,5,1,1,2,0,1,0
Trash-talking,1,3,4,3,2,3,2,8,4,2,1,3,0,23,5,2,2,6,0,0,1
Control,0,2,2,3,2,2.25,4,6,2,3,2,3,1,48,4,4,4,2,0,0,0
Control,0,4,2,5,5,4,1,10,1,1,1,1,0,52,3,2,3,2,0,0,0
Control,0,2,1,2,3,2,5,10,5,4,1,2,0,32,3,2,5,1,1,0,0
Trash-talking,1,4,4,4,2,3.5,3,10,5,5,4,4,1,19,5,1,5,5,1,0,0
Control,0,3,3,3,3,3,3,10,1,1,3,1,0,34,6,1,4,6,0,1,0
Control,0,3,3,3,3,3,3,1,1,1,1,1,0,21,5,1,3,3,0,1,0
Control,0,3,3,3,3,3,3,6,3,3,3,3,1,32,1,3,3,4,1,0,0
Trash-talking,1,1,1,1,1,1,2,7,4,4,1,4,1,24,3,2,1,3,0,0,1
Trash-talking,1,5,4,5,5,4.75,5,6,1,1,2,3,1,34,3,3,4,4,1,0,0
Control,0,4,4,4,5,4.25,3,7,1,1,5,1,0,38,5,3,5,6,1,0,0
Control,0,1,2,5,1,2.25,2,9,2,1,5,1,0,51,4,4,5,2,0,0,0
Control,0,5,5,5,5,5,5,10,3,3,3,3,1,33,2,4,4,3,0,1,0
Control,0,2,4,2,2,2.5,3,8,4,3,1,2,1,24,5,4,3,2,1,0,0
Trash-talking,1,4,4,4,4,4,3,10,4,3,3,1,1,34,6,2,5,4,1,0,0
Control,0,3,4,5,3,3.75,4,8,3,3,4,1,1,67,3,3,4,2,1,0,0
Trash-talking,1,2,2,1,3,2,3,10,3,3,3,3,0,44,5,2,2,6,0,0,1
Control,0,4,3,4,2,3.25,3,5,1,1,4,1,1,23,6,1,5,2,0,0,0
Control,0,3,4,5,5,4.25,2,10,5,5,3,5,0,21,2,3,2,2,0,0,1
Control,0,5,2,4,5,4,4,10,1,1,1,1,1,44,2,3,3,4,1,0,0
Trash-talking,1,3,4,3,4,3.5,4,6,1,1,3,2,0,52,3,3,4,1,1,0,0
Trash-talking,1,3,4,4,3,3.5,4,10,4,1,1,1,0,44,6,4,5,2,1,0,0
Trash-talking,1,4,5,4,4,4.25,4,10,4,2,3,1,1,48,2,4,5,5,1,0,0
Control,0,5,5,5,5,5,1,10,3,2,3,2,0,35,5,1,5,6,1,0,0
Trash-talking,1,3,3,3,3,3,3,1,2,1,3,3,0,63,4,1,3,2,0,1,0
Trash-talking,1,2,2,3,4,2.75,3,7,2,1,2,3,1,20,4,3,4,2,1,0,0
Control,0,1,2,3,1,1.75,1,8,5,2,1,3,0,56,6,3,1,5,0,1,0
Trash-talking,1,2,2,2,2,2,3,6,3,3,2,1,0,25,5,3,1,2,0,0,1
Control,0,3,3,3,3,3,3,8,3,3,3,3,1,40,5,3,3,4,0,1,0
Trash-talking,1,3,3,5,3,3.5,3,10,1,1,1,1,0,33,1,2,3,6,0,1,0
Control,0,3,4,3,2,3,2,9,2,1,1,1,0,45,1,2,2,6,0,1,0
Trash-talking,1,2,3,2,2,2.25,2,6,4,2,1,1,1,50,7,3,2,5,0,0,1
Trash-talking,1,3,3,3,3,3,3,5,3,3,3,3,0,28,5,2,3,2,0,1,0
Control,0,1,2,4,1,2,5,7,4,2,2,1,1,21,1,2,2,3,0,0,1
Trash-talking,1,3,3,3,3,3,3,5,3,1,4,2,1,23,2,2,5,4,1,0,0
Trash-talking,1,3,3,3,5,3.5,5,10,2,2,1,2,1,35,6,2,3,2,0,1,0
Trash-talking,1,3,2,4,2,2.75,3,2,3,1,1,2,0,35,4,2,4,3,1,0,0
Control,0,4,2,4,4,3.5,4,4,3,2,5,1,0,24,5,2,4,3,1,0,0
Control,0,3,4,5,5,4.25,5,10,4,4,3,4,1,41,2,3,5,2,1,0,0
Control,0,4,5,3,4,4,3,6,3,1,3,1,0,27,5,2,4,6,1,0,0
Control,0,3,3,3,3,3,4,7,3,3,3,3,0,33,1,1,1,1,0,1,0
Control,0,2,2,2,2,2,3,9,2,2,2,2,1,57,3,2,4,6,1,0,0
Control,0,2,3,4,2,2.75,1,10,5,5,1,4,0,52,5,3,2,2,0,0,1
Trash-talking,1,3,3,3,3,3,3,5,4,4,3,3,0,22,5,2,3,2,0,1,0
Trash-talking,1,3,3,4,4,3.5,3,9,4,3,1,2,1,21,3,4,2,4,1,0,0
Control,0,2,4,3,2,2.75,3,8,4,4,2,4,0,58,4,1,2,2,0,1,0
Trash-talking,1,2,2,4,3,2.75,3,8,3,3,4,2,1,31,6,2,3,6,0,1,0
Trash-talking,1,3,4,5,4,4,4,9,3,3,2,3,1,40,6,2,4,3,1,0,0
Trash-talking,1,4,4,4,4,4,5,10,3,2,1,1,0,34,4,3,4,3,1,0,0
Control,0,3,3,4,2,3,3,10,3,5,2,4,1,41,5,3,4,6,1,0,0
Trash-talking,1,2,2,4,2,2.5,5,10,5,5,1,5,0,60,5,2,1,3,0,0,1
Control,0,4,5,3,3,3.75,4,9,4,4,3,4,0,38,5,2,5,1,1,0,0
Control,0,5,3,4,3,3.75,4,7,2,3,4,3,1,21,5,2,5,6,1,0,0
Control,0,1,1,1,1,1,1,1,5,5,1,5,1,67,1,4,1,3,0,0,1
Trash-talking,1,3,3,3,3,3,3,6,3,3,2,1,1,19,5,3,5,2,1,0,0
Trash-talking,1,2,3,4,2,2.75,3,5,3,2,4,2,1,19,2,2,4,6,1,0,0
Trash-talking,1,2,5,2,2,2.75,4,9,4,2,2,1,1,61,2,4,4,2,0,1,0
Trash-talking,1,3,5,4,4,4,5,9,5,4,2,4,1,25,3,3,2,2,1,0,0
Control,0,3,3,3,4,3.25,5,9,4,3,4,3,0,30,3,4,5,6,1,0,0
Control,0,1,2,3,1,1.75,2,5,3,3,3,4,1,43,2,1,3,4,0,0,1
Control,0,3,3,3,3,3,4,8,3,2,2,1,0,36,5,2,3,6,0,1,0
Trash-talking,1,2,2,2,4,2.5,1,4,3,1,2,1,0,26,5,3,4,5,1,0,0
Control,0,3,1,3,5,3,4,10,3,3,4,3,1,42,1,4,5,2,1,0,0
Control,0,2,4,3,2,2.75,2,9,2,4,2,3,0,42,5,2,2,3,0,0,1
Control,0,3,4,2,4,3.25,5,10,2,3,2,1,1,50,5,3,4,5,1,0,0
Control,0,1,1,1,1,1,1,7,3,3,4,3,0,52,1,2,1,3,0,0,1
Control,0,1,1,2,2,1.5,2,2,3,1,2,1,0,54,5,3,2,3,0,0,1
Control,0,3,3,3,3,3,3,5,3,3,3,3,0,19,7,2,4,4,0,1,0
Trash-talking,1,1,2,2,1,1.5,2,5,1,1,1,1,0,32,2,1,2,3,0,0,1
Trash-talking,1,3,4,3,4,3.5,3,10,4,2,2,1,0,20,6,3,5,6,1,0,0
Control,0,2,2,2,3,2.25,3,8,3,3,3,3,1,33,3,2,4,4,1,0,0
Control,0,2,4,2,5,3.25,3,10,3,1,3,2,1,40,3,3,5,4,1,0,0
Trash-talking,1,1,3,1,1,1.5,3,10,1,1,1,1,1,24,4,1,5,1,0,1,0
Control,0,3,3,3,3,3,3,6,3,3,3,3,1,25,6,3,4,5,1,0,0
Trash-talking,1,3,3,3,3,3,3,5,4,1,2,1,0,51,3,1,3,3,1,0,0
Trash-talking,1,2,1,4,3,2.5,4,8,2,3,3,3,1,45,1,4,4,3,0,1,0
Control,0,2,3,4,3,3,4,9,3,1,3,1,0,48,1,1,1,2,0,1,0
Trash-talking,1,1,1,5,4,2.75,3,10,4,3,2,3,1,25,3,4,2,4,0,1,0
