treatment,treatment_binary,fire_judges,disobey_justice_2,overthrow_institutions,power_institutions,anti_democratic_index,strong_leader,check_corruption,angry,scared,optimistic,nervous,male,age,socioeconomic_level,political_interest,pres_approval,region,morena,nonpartisan,otherpartisan
Trash-talking,1,3,4,4,4,3.75,3,8,4,2,3,3,1,21,4,2,4,6,1,0,0
Control,0,3,5,3,3,3.5,3,6,4,2,2,1,0,45,6,1,4,4,1,0,0
Trash-talking,1,4,5,1,5,3.75,5,10,2,1,1,1,0,42,5,2,4,4,1,0,0
Control,0,3,3,3,3,3,3,5,3,3,3,3,0,45,3,1,4,3,0,1,0
Control,0,3,2,2,3,2.5,3,1,4,3,3,4,1,48,3,2,5,2,1,0,0
Trash-talking,1,1,1,3,1,1.5,1,5,3,2,1,2,0,57,2,3,1,3,0,1,0
Trash-talking,1,4,5,3,4,4,5,9,3,4,4,3,1,36,3,3,5,3,1,0,0
Control,0,1,3,5,1,2.5,2,6,2,4,1,2,1,46,1,3,2,6,0,0,0
Trash-talking,1,4,2,4,4,3.5,4,10,2,2,4,3,0,20,4,3,4,6,1,0,0
Control,0,3,4,4,3,3.5,3,7,3,1,2,3,0,22,4,1,5,4,1,0,0
Trash-talking,1,4,2,4,4,3.5,4,10,2,2,1,2,1,21,3,2,5,3,0,0,0
Trash-talking,1,3,3,4,4,3.5,3,10,1,3,2,2,1,24,1,1,5,4,1,0,0
Trash-talking,1,1,4,3,1,2.25,2,10,3,1,5,1,1,37,1,3,1,4,0,0,1
Control,0,2,3,2,3,2.5,4,8,1,1,2,1,0,38,5,2,4,5,1,0,0
Control,0,2,2,4,2,2.5,3,10,2,1,1,1,0,46,4,3,4,6,0,1,0
Trash-talking,1,3,2,4,2,2.75,4,7,3,2,1,4,0,52,1,3,1,5,0,1,0
Trash-talking,1,3,3,3,3,3,3,9,3,3,3,3,1,28,2,2,4,2,1,0,0
Trash-talking,1,4,2,3,4,3.25,4,9,2,4,2,2,0,47,5,3,5,6,1,0,0
Trash-talking,1,2,3,4,3,3,4,10,4,2,1,1,1,37,2,3,2,4,0,0,1
Trash-talking,1,3,3,4,4,3.5,4,8,4,2,3,2,0,24,3,3,5,3,1,0,0
Control,0,2,3,5,1,2.75,4,9,2,2,3,1,0,23,3,4,3,3,0,0,0
Control,0,2,2,2,3,2.25,3,10,1,3,3,2,1,23,1,2,3,4,1,0,0
Control,0,2,2,5,4,3.25,4,10,4,3,2,4,0,54,6,2,2,5,0,1,0
Control,0,5,3,5,4,4.25,3,7,4,2,4,3,0,36,5,2,4,1,1,0,0
Trash-talking,1,2,3,2,4,2.75,3,8,3,3,3,3,1,24,2,1,5,4,1,0,0
Control,0,3,2,4,4,3.25,3,8,3,4,2,4,0,38,6,2,2,5,1,0,0
Trash-talking,1,3,4,3,2,3,5,5,2,1,2,1,0,33,1,2,1,5,0,0,1
Control,0,4,3,4,4,3.75,3,10,1,1,4,1,1,41,3,4,4,3,0,0,0
Trash-talking,1,3,4,4,5,4,5,10,2,2,4,2,0,39,5,1,5,6,0,1,0
Control,0,2,2,5,4,3.25,2,9,2,1,4,1,0,25,6,2,4,4,1,0,0
Trash-talking,1,2,4,3,3,3,5,8,3,3,2,1,0,60,2,2,4,2,1,0,0
Trash-talking,1,2,4,3,1,2.5,5,10,2,1,5,1,1,22,3,3,2,6,0,0,1
Control,0,5,2,4,4,3.75,3,10,5,5,1,5,1,48,6,2,5,6,1,0,0
Trash-talking,1,3,4,4,2,3.25,3,10,3,1,2,1,0,28,5,2,3,6,0,1,0
Trash-talking,1,4,4,5,5,4.5,4,9,4,2,1,1,1,25,3,4,5,1,1,0,0
Trash-talking,1,1,4,4,2,2.75,2,7,2,3,1,1,0,52,3,3,4,2,0,1,0
Trash-talking,1,4,5,4,4,4.25,4,9,1,1,4,1,1,41,1,3,5,6,0,0,0
Trash-talking,1,3,4,3,2,3,5,10,4,3,4,1,0,23,4,3,5,6,1,0,0
Trash-talking,1,1,4,3,1,2.25,4,6,2,1,2,1,0,21,4,2,4,6,1,0,0
Trash-talking,1,5,2,5,5,4.25,5,10,5,3,2,2,1,27,2,3,5,4,1,0,0
Trash-talking,1,4,4,4,3,3.75,4,9,4,3,1,1,1,63,6,2,4,5,0,1,0
Trash-talking,1,5,3,4,5,4.25,3,10,2,1,1,1,1,27,1,2,5,4,1,0,0
Control,0,4,4,4,4,4,4,10,2,1,3,1,1,48,5,3,5,5,1,0,0
Control,0,1,5,2,1,2.25,5,1,1,1,3,1,1,25,2,1,5,4,1,0,0
Trash-talking,1,3,3,3,1,2.5,1,1,4,4,3,4,0,72,5,1,3,5,0,1,0
Trash-talking,1,5,3,5,5,4.5,4,10,2,1,4,1,1,43,4,2,5,4,1,0,0
Control,0,1,1,1,1,1,3,2,1,1,5,1,1,50,2,4,1,2,0,0,1
Trash-talking,1,1,1,5,1,2,1,10,5,5,1,5,0,45,3,4,1,3,0,1,0
Control,0,3,3,5,4,3.75,3,10,2,2,3,2,1,27,3,4,5,1,1,0,0
Trash-talking,1,5,3,5,5,4.5,5,10,1,5,5,1,1,19,5,1,5,3,1,0,0
